time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan_State,Minnesota,Nebraska,Northwestern,OSU,Penn_State,Purdue,Rutgers,Wisconsin,probability
1444007389.157992,1,1,1,2,6,1,7,8,3,9,10,11,5,12,4,13,.016382765024900436
1444007389.249667,1,2,1,2,6,1,7,8,3,9,10,11,5,13,4,12,.04621186852455139
1444007389.249737,1,8,1,2,6,1,7,8,3,9,11,10,5,13,4,12,.06537657976150513
1444007389.249773,1,19,1,2,6,1,7,8,3,9,11,12,5,13,4,10,.07229078561067581
1444007389.250113,1,1568,1,2,6,1,9,8,3,7,11,10,5,13,4,12,.07405401766300201
1444007389.250146,1,1579,1,2,6,1,9,8,3,7,11,12,5,13,4,10,.08188594877719879
1444007389.250192,1,1657,1,2,6,1,10,8,3,7,11,12,5,13,4,9,.10267216712236404
1444007389.250802,1,4465,1,2,6,1,10,8,3,9,11,12,5,13,4,7,.11002475768327713
1444007389.25131,1,6711,1,2,12,1,6,8,3,7,11,10,5,13,4,9,.11795719712972641
1444007389.251969,1,9519,1,2,12,1,6,8,3,9,11,10,5,13,4,7,.12640440464019775
1444007389.252548,1,11985,1,2,12,1,10,6,3,7,11,8,5,13,4,9,.14842836558818817
1444007389.253223,1,14937,1,2,12,1,10,6,3,9,11,8,5,13,4,7,.15905767679214478
1444007389.256598,1,29817,1,2,12,1,10,8,3,9,11,6,5,13,4,7,.1700478196144104
